route_name,route_distance,route_elevation_gain,start_location_id,end_location_id
2024-09-20 CIF David and Jim 5k,4.8,30,4,4
Nutrience Oakville 10k,10,25,1,2
2024-09-30 UW R&M Short,4.3,25,5,5
2024-10-03 UW R&M Medium,6.9,47,5,5
2024-10-07 UW R&M Short,4.8,30,5,5
2024-10-09 UW R&M Beginner,2.8,20,5,5
2024-10-10 UW R&M Medium,6.5,34,5,5
DW Home Laps,0.3,0,6,6
Creekside detour to bbq,16.1,108,6,8
